Article title,Lead section excerpt,Prediction,Prediction probability
Metaphysics,"Metaphysics. Metaphysics is a branch of philosophy exploring the fundamental nature of reality. While various views and methods have been called 'metaphysics' across history, this article approaches metaphysics first from the perspective of contemporary analytical philosophy, and then explores metaphysics in other traditions. In this vein, metaphysics seeks to answer two basic questions: Ultimately, what is there?;",1,0.998
Toxicology,"Toxicology. Toxicology (from the Ancient Greek words τοξικός toxikos ""poisonous"" and λόγος logos) is a branch of biology, chemistry, and medicine (more specifically pharmacology) concerned with the study of the adverse effects of chemicals on living organisms. It also studies the harmful effects of chemical, biological and physical agents in biological systems that establishes the extent of damage in living organisms.",1,0.998
Educational psychology,"Educational psychology. Educational psychology is the branch of psychology concerned with the scientific study of human learning. The study of learning processes, from both cognitive and behavioral perspectives, allows researchers to understand individual differences in intelligence, cognitive development, affect, motivation, self-regulation, and self-concept, as well as their role in learning.",1,0.998
Geodesy,"Geodesy. Geodesy , — also known as geodetics, geodetic engineering or geodetics engineering — a branch of applied mathematics and earth sciences, is the scientific discipline that deals with the measurement and representation of the Earth (or any planet), including its gravitational field, in a three-dimensional time-varying space. Geodesists also study geodynamical phenomena such as crustal motion, tides, and polar motion.",1,0.998
Informatics,"Informatics. Informatics is a branch of information engineering. It involves the practice of information processing and the engineering of information systems, and as an academic field it is an applied form of information science. The field considers the interaction between humans and information alongside the construction of interfaces, organisations, technologies and systems.",1,0.998
Mathematical logic,"Mathematical logic. Mathematical logic is a subfield of mathematics exploring the applications of formal logic to mathematics. It bears close connections to metamathematics, the foundations of mathematics, and theoretical computer science. The unifying themes in mathematical logic include the study of the expressive power of formal systems and the deductive power of formal proof systems.",1,0.998
Economic geography,"Economic geography. Economic geography is the study of the location, distribution and spatial organization of economic activities across the world. It represents a traditional subfield of the discipline of geography. However, many economists have also approached the field in ways more typical of the discipline of economics.",1,0.998
Chemical physics,"Chemical physics. Chemical physics is a subdiscipline of chemistry and physics that investigates physicochemical phenomena using techniques from atomic and molecular physics and condensed matter physics; it is the branch of physics that studies chemical processes from the point of view of physics. While at the interface of physics and chemistry, chemical physics is distinct from physical chemistry in that it focuses more on the characteristic elements and theories of physics.",1,0.998
Developmental biology,"Developmental biology. Developmental biology is the study of the process by which animals and plants grow and develop. Developmental biology also encompasses the biology of regeneration, asexual reproduction and metamorphosis and in the growth and differentiation of stem cells in the adult organism.",1,0.998
Bioethics,"Bioethics. Bioethics is the study of the typically controversial ethical issues emerging from new situations and possibilities brought about by advances in biology and medicine. It is also moral discernment as it relates to medical policy and practice. Bioethicists are concerned with the ethical questions that arise in the relationships among life sciences, biotechnology, medicine, politics, law, and philosophy.",1,0.997
Media studies,"Media studies. Media studies is a discipline and field of study that deals with the content, history, and effects of various media; in particular, the mass media. Media studies may draw on traditions from both the social sciences and the humanities, but mostly from its core disciplines of mass communication, communication, communication sciences, and communication studies.",1,0.997
Area studies,"Area studies. Area studies are interdisciplinary fields of research and scholarship pertaining to particular geographical, national/federal, or cultural regions. The term exists primarily as a general description for what are, in the practice of scholarship, many heterogeneous fields of research, encompassing both the social sciences and the humanities. Typical area study programs involve history, political science, sociology, cultural studies, languages, geography, literature, and related disciplines.",1,0.997
Evolutionary biology,"Evolutionary biology. Evolutionary biology is the subfield of biology that studies the evolutionary processes that produced the diversity of life on Earth, starting from a single origin of life. These processes include natural selection, common descent, and speciation. The discipline emerged through what Julian Huxley called the modern evolutionary synthesis (of the 1930s) of understanding from several previously unrelated fields of biological research, including genetics, ecology, systematics and palaeontology.",1,0.997
Algebraic geometry,"Algebraic geometry. Algebraic geometry is a branch of mathematics, classically studying zeros of multivariate polynomials. Modern algebraic geometry is based on the use of abstract algebraic techniques, mainly from commutative algebra, for solving geometrical problems about these sets of zeros. The fundamental objects of study in algebraic geometry are algebraic varieties, which are geometric manifestations of solutions of systems of polynomial equations.",1,0.997
Health psychology,"Health psychology. Health psychology is the study of psychological and behavioral processes in health, illness, and healthcare. It is concerned with understanding how psychological, behavioral, and cultural factors contribute to physical health and illness. Psychological factors can affect health directly. For example, chronically occurring environmental stressors affecting the hypothalamic–pituitary–adrenal axis, cumulatively, can harm health.",1,0.997
Psychoacoustics,"Psychoacoustics. Psychoacoustics is the scientific study of sound perception. More specifically, it is the branch of science studying the psychological and physiological responses associated with sound (including noise, speech and music). It can be further categorized as a branch of psychophysics. Psychoacoustics received its name from a field within psychology—i.",1,0.997
Astronomy,"Astronomy. Astronomy (from Greek: αστρονομία) is a natural science that studies celestial objects and phenomena. It applies mathematics, physics, and chemistry, in an effort to explain the origin of those objects and phenomena and their evolution. Objects of interest include planets, moons, stars, galaxies, and comets; while the phenomena include supernova explosions, gamma ray bursts, and cosmic microwave background radiation.",1,0.997
Computational anatomy,"Computational anatomy. Computational anatomy is a discipline within medical imaging focusing on the study of anatomical shape and form at the visible or gross anatomical scale of morphology. It involves the development and application of computational, mathematical and data-analytical methods for modeling and simulation of biological structures. The field is broadly defined and includes foundations in anatomy, applied mathematics and pure mathematics, machine learning, computational mechanics, computational science, medical imaging, neuroscience, physics, probability, and statistics;",1,0.997
Normative ethics,"Normative ethics. Normative ethics is the study of ethical action. It is the branch of philosophical ethics that investigates the set of questions that arise when considering how one ought to act, morally speaking. Normative ethics is distinct from meta-ethics because it examines standards for the rightness and wrongness of actions, while meta-ethics studies the meaning of moral language and the metaphysics of moral facts.",1,0.997
Art history,"Art history. Art history is the study of objects of art in their historical development and stylistic contexts, i.e. genre, design, format, and style. This includes the ""major"" arts of painting, sculpture, and architecture as well as the ""minor"" arts of ceramics, furniture, and other decorative objects. As a term, art history (its product being history of art) encompasses several methods of studying the visual arts;",1,0.997
Physical chemistry,"Physical chemistry. Physical chemistry is the study of macroscopic, atomic, subatomic, and particulate phenomena in chemical systems in terms of the principles, practices and concepts of physics such as motion, energy, force, time, thermodynamics, quantum chemistry, statistical mechanics, analytical dynamics and chemical equilibrium.",1,0.997
Computational geometry,"Computational geometry. Computational geometry is a branch of computer science devoted to the study of algorithms which can be stated in terms of geometry. Some purely geometrical problems arise out of the study of computational geometric algorithms, and such problems are also considered to be part of computational geometry. While modern computational geometry is a recent development, it is one of the oldest fields of computing with history stretching back to antiquity.",1,0.997
Historiography,"Historiography. Historiography is the study of the methods of historians in developing history as an academic discipline, and by extension is any body of historical work on a particular subject. The historiography of a specific topic covers how historians have studied that topic using particular sources, techniques, and theoretical approaches.",1,0.997
Microbiology,"Microbiology. Microbiology (from Greek , mīkros, ""small""; , bios, ""life""; and , -logia) is the study of microscopic organisms, those being unicellular (single cell), multicellular (cell colony), or acellular (lacking cells). Microbiology encompasses numerous sub-disciplines including virology, mycology, parasitology, and bacteriology. Eukaryotic micro-organisms possess membrane-bound cell organelles and include fungi and protists, whereas prokaryotic organisms—all of which are microorganisms—are conventionally classified as lacking membrane-bound organelles and include eubacteria and archaebacteria.",1,0.997
Ornithology,"Ornithology. Ornithology is a branch of zoology that concerns the study of birds. The word ""ornithology"" derives from the ancient Greek ὄρνις ornis (""bird"") and λόγος logos (""rationale"" or ""explanation""). Several aspects of ornithology differ from related disciplines, due partly to the high visibility and the aesthetic appeal of birds.",1,0.997
Affective neuroscience,"Affective neuroscience. Affective neuroscience is the study of the neural mechanisms of emotion. This interdisciplinary field combines neuroscience with the psychological study of personality, emotion, and mood.",1,0.997
Neurophysiology,"Neurophysiology. Neurophysiology (from Greek , neuron, ""nerve""; φύσις, physis, ""nature, origin""; and -λογία, -logia, ""knowledge"") is a branch of physiology and neuroscience that is concerned with the study of the functioning of the nervous system.",1,0.997
Ontology,"Ontology. Ontology is the philosophical study of the nature of being, becoming, existence or reality, as well as the basic categories of being and their relations. Traditionally listed as a part of the major branch of philosophy known as metaphysics, ontology often deals with questions concerning what entities exist or may be said to exist and how such entities may be grouped, related within a hierarchy, and subdivided according to similarities and differences.",1,0.997
Neuropsychology,Neuropsychology. Neuropsychology studies the structure and function of the brain as they relate to specific psychological processes and behaviours. It is an experimental field of psychology that aims to understand how behavior and cognition are influenced by brain functioning and is concerned with the diagnosis and treatment of behavioral and cognitive effects of neurological disorders.,1,0.997
Applied linguistics,"Applied linguistics. Applied linguistics is an interdisciplinary field of linguistics that identifies, investigates, and offers solutions to language-related real-life problems. Some of the academic fields related to applied linguistics are education, psychology, communication research, anthropology, and sociology.",1,0.997
Environmental engineering,"Environmental engineering. Environmental engineering is the branch of engineering concerned with the application of scientific and engineering principles for protection of human populations from the effects of adverse environmental factors; protection of environments, both local and global, from potentially deleterious effects of natural and human activities; and improvement of environmental quality.",1,0.997
Hermeneutics,"Hermeneutics. Hermeneutics is the theory and methodology of interpretation, especially the interpretation of biblical texts, wisdom literature, and philosophical texts. Modern hermeneutics includes both verbal and non-verbal communication as well as semiotics, presuppositions, and pre-understandings. Hermeneutics has been broadly applied in the humanities, especially in law, history and theology.",1,0.997
Paleoecology,"Paleoecology. Paleoecology (also spelt palaeoecology) is the study of interactions between organisms and/or interactions between organisms and their environments across geologic timescales. As a discipline, paleoecology interacts with, depends on and informs a variety of fields including paleontology, ecology, climatology and biology. Classic paleoecology uses data from fossils and subfossils to reconstruct the ecosystems of the past.",1,0.997
Medical anthropology,"Medical anthropology. Medical anthropology studies ""human health and disease, health care systems, and biocultural adaptation"". It views humans from multidimensional and ecological perspectives. It is one of the most highly developed areas of anthropology and applied anthropology, and is a subfield of social and cultural anthropology that examines the ways in which culture and society are organized around or influenced by issues of health, health care and related issues.",1,0.997
Applied mathematics,"Applied mathematics. Applied mathematics is a branch of mathematics that deals with mathematical methods that find use in science, engineering, business, computer science, and industry. Thus, applied mathematics is a combination of mathematical science and specialized knowledge. The term ""applied mathematics"" also describes the professional specialty in which mathematicians work on practical problems by formulating and studying mathematical models.",1,0.997
Christian theology,"Christian theology. Christian theology is the study of Christian belief and practice. Such study concentrates primarily upon the texts of the Old Testament and the New Testament as well as on Christian tradition. Christian theologians use biblical exegesis, rational analysis and argument.",1,0.997
Kinesiology,"Kinesiology. Kinesiology is the scientific study of human or non-human body movement. Kinesiology addresses physiological, biomechanical, and psychological mechanisms of movement. Applications of kinesiology to human health (i.e. human kinesiology) include biomechanics and orthopedics; strength and conditioning; sport psychology; methods of rehabilitation, such as physical and occupational therapy;",1,0.997
Quantitative psychology,"Quantitative psychology. Quantitative psychology is a field of scientific study that focuses on the mathematical modeling, research design and methodology, and statistical analysis of human attributes and psychological processes. Quantitative psychologists research traditional and novel methods of psychometrics, a field of study concerned with the theory and technique of psychological measurement.",1,0.997
Computational mechanics,"Computational mechanics. Computational mechanics is the discipline concerned with the use of computational methods to study phenomena governed by the principles of mechanics. Before the emergence of computational science (also called scientific computing) as a ""third way"" besides theoretical and experimental sciences, computational mechanics was widely considered to be a sub-discipline of applied mechanics.",1,0.997
Pathology,"Pathology. Pathology (from the Greek roots of pathos , meaning ""experience"" or ""suffering"", and -logia , ""study of"") is a significant component of the causal study of disease and a major field in modern medicine and diagnosis.",1,0.997
Fluid dynamics,"Fluid dynamics. In physics and engineering, fluid dynamics is a subdiscipline of fluid mechanics that describes the flow of fluids (liquids and gases). It has several subdisciplines, including aerodynamics (the study of air and other gases in motion) and hydrodynamics (the study of liquids in motion).",1,0.997
Cognitive musicology,"Cognitive musicology. Cognitive musicology is a branch of cognitive science concerned with computationally modeling musical knowledge with the goal of understanding both music and cognition. Cognitive musicology can be differentiated from other branches of music psychology via its methodological emphasis, using computer modeling to study music-related knowledge representation with roots in artificial intelligence and cognitive science.",1,0.997
Political ecology,"Political ecology. Political ecology is the study of the relationships between political, economic and social factors with environmental issues and changes. Political ecology differs from apolitical ecological studies by politicizing environmental issues and phenomena. The academic discipline offers wide-ranging studies integrating ecological social sciences with political economy in topics such as degradation and marginalization, environmental conflict, conservation and control, and environmental identities and social movements.",1,0.997
Sport psychology,"Sport psychology. Sport psychology is an interdisciplinary science that draws on knowledge from many related fields including biomechanics, physiology, kinesiology and psychology. It involves the study of how psychological factors affect performance and how participation in sport and exercise affect psychological and physical factors.",1,0.996
Fluid mechanics,"Fluid mechanics. Fluid mechanics is a branch of physics concerned with the mechanics of fluids (liquids, gases, and plasmas) and the forces on them. Fluid mechanics has a wide range of applications, including mechanical engineering, civil engineering, chemical engineering, geophysics, astrophysics, and biology. Fluid mechanics can be divided into fluid statics, the study of fluids at rest;",1,0.996
Organic chemistry,"Organic chemistry. Organic chemistry is a chemistry subdiscipline involving the scientific study of the structure, properties, and reactions of organic compounds and organic materials, i.e., matter in its various forms that contain carbon atoms. Study of structure includes many physical and chemical methods to determine the chemical composition and the chemical constitution of organic compounds and materials.",1,0.996
Soil science,"Soil science. Soil science is the study of soil as a natural resource on the surface of the Earth including soil formation, classification and mapping; physical, chemical, biological, and fertility properties of soils; and these properties in relation to the use and management of soils.",1,0.996
