Article title,Lead section excerpt,Prediction,Prediction probability
Cognitive science,"Cognitive science. Cognitive science is the interdisciplinary scientific study of the mind and its processes. It examines what cognition is, what it does and how it works. It includes research on intelligence and behaviour, especially focusing on how information is represented, processed, and transformed (in faculties such as perception, language, memory, attention, reasoning, and emotion) within nervous systems (humans or other animals) and machines (e.",1,1.0
History,"History. History (from Greek , historia, meaning ""inquiry, knowledge acquired by investigation"") is the study of the past, particularly how it relates to humans. It is an umbrella term that relates to past events as well as the memory, discovery, collection, organization, presentation, and interpretation of information about these events.",1,0.999
Political science,"Political science. Political science is a social science discipline that deals with systems of government, and the analysis of political activity and political behavior. It deals extensively with the theory and practice of politics which is commonly thought of as determining of the distribution of power and resources.",1,0.999
Anatomy,"Anatomy. Anatomy is the branch of biology concerned with the study of the structure of organisms and their parts. Anatomy is inherently tied to embryology, comparative anatomy, evolutionary biology, and phylogeny, as these are the processes by which anatomy is generated over immediate (embryology) and long (evolution) timescales. Human anatomy is one of the basic essential sciences of medicine.",1,0.999
Human geography,"Human geography. Human geography is the branch of the social sciences that deals with the world, its people and their communities, cultures, economies and interaction with the environment by emphasizing their relations with and across space and place.",1,0.999
Statistics,"Statistics. Statistics is the study of the collection, analysis, interpretation, presentation, and organization of data. In applying statistics to, e.g., a scientific, industrial, or social problem, it is conventional to begin with a statistical population or a statistical model process to be studied. Populations can be diverse topics such as ""all people living in a country"" or ""every atom composing a crystal"".",1,0.999
Anthropological linguistics,"Anthropological linguistics. Anthropological linguistics is the study of the relations between language and culture and the relations between human biology, cognition and language. This strongly overlaps the field of linguistic anthropology, which is the branch of anthropology that studies humans through the languages that they use.",1,0.999
Cultural anthropology,"Cultural anthropology. Cultural anthropology is a branch of anthropology focused on the study of cultural variation among humans and is in contrast to social anthropology which perceives cultural variation as a subset of the anthropological constant. A variety of methods are part of anthropological methodology, including participant observation (often called fieldwork because it involves the anthropologist spending an extended period of time at the research location), interviews, and surveys.",1,0.999
Systems biology,"Systems biology. Systems biology is the computational and mathematical modeling of complex biological systems. An emerging engineering approach applied to biological scientific research, systems biology is a biology-based inter-disciplinary field of study that focuses on complex interactions within biological systems, using a holistic approach (holism instead of the more traditional reductionism) to biological research.",1,0.999
Cognitive psychology,"Cognitive psychology. Cognitive psychology is the study of mental processes such as ""attention, language use, memory, perception, problem solving, creativity, and thinking."" Much of the work derived from cognitive psychology has been integrated into various other modern disciplines of psychological study, including educational psychology, social psychology, personality psychology, abnormal psychology, developmental psychology, and economics.",1,0.999
Criminology,"Criminology. Criminology (from Latin , ""accusation""; and Greek , -logia) is the scientific study of the nature, extent, management, causes, control, consequences, and prevention of criminal behavior, both on the individual and social levels. Criminology is an interdisciplinary field in both the behavioral and social sciences, drawing especially upon the research of sociologists, psychologists, psychiatrists, social anthropologists, as well as scholars of law.",1,0.999
Developmental psychology,"Developmental psychology. Developmental psychology is the scientific study of how and why human beings develop over the course of their life. Originally concerned with infants and children, the field has expanded to include adolescence, adult development, aging, and the entire lifespan. This field examines change across a broad range of topics including: motor skills, cognitive development, executive functions, moral understanding, language acquisition, social change, personality, emotional development, self-concept and identity formation.",1,0.999
Educational psychology,"Educational psychology. Educational psychology is the branch of psychology concerned with the scientific study of human learning. The study of learning processes, from both cognitive and behavioral perspectives, allows researchers to understand individual differences in intelligence, cognitive development, affect, motivation, self-regulation, and self-concept, as well as their role in learning.",1,0.999
Epidemiology,"Epidemiology. Epidemiology is the study and analysis of the patterns, causes, and effects of health and disease conditions in defined populations. It is the cornerstone of public health, and shapes policy decisions and evidence-based practice by identifying risk factors for disease and targets for preventive healthcare. Epidemiologists help with study design, collection, and statistical analysis of data, amend interpretation and dissemination of results (including peer review and occasional systematic review).",1,0.999
Ethics,"Ethics. Ethics or moral philosophy is the branch of philosophy that involves systematizing, defending, and recommending concepts of right and wrong conduct. The term ethics derives from the Ancient Greek word ἠθικός ethikos, which is derived from the word ἦθος ethos (habit, ""custom""). The branch of philosophy axiology comprises the sub-branches of ethics and aesthetics, each concerned with values.",1,0.999
Morphology (biology),"Morphology (biology). Morphology is a branch of biology dealing with the study of the form and structure of organisms and their specific structural features. This includes aspects of the outward appearance (shape, structure, colour, pattern, size), i.e. external morphology (or eidonomy), as well as the form and structure of the internal parts like bones and organs, i.",1,0.998
Hydrology,"Hydrology. Hydrology is the scientific study of the movement, distribution, and quality of water on Earth and other planets, including the hydrologic cycle, water resources and environmental watershed sustainability. A practitioner of hydrology is a hydrologist, working within the fields of earth or environmental science, physical geography, geology or civil and environmental engineering.",1,0.998
Geology,"Geology. Geology (from the Greek γῆ, gē, i.e. ""earth"" and -λoγία, -logia, i.e. ""study of, discourse"") is an earth science comprising the study of solid Earth, the rocks of which it is composed, and the processes by which they change. Geology can also refer generally to the study of the solid features of any celestial body (such as the geology of the Moon or Mars).",1,0.998
Biochemistry,"Biochemistry. Biochemistry, sometimes called biological chemistry, is the study of chemical processes within and relating to living organisms. By controlling information flow through biochemical signaling and the flow of chemical energy through metabolism, biochemical processes give rise to the complexity of life.",1,0.998
Genetics,"Genetics. Genetics is the study of genes, genetic variation, and heredity in living organisms. It is generally considered a field of biology, but it intersects frequently with many of the life sciences and is strongly linked with the study of information systems. The father of genetics is Gregor Mendel, a late 19th-century scientist and Augustinian friar.",1,0.998
Theology,"Theology. Theology is the critical study of the nature of the divine. It is taught as an academic discipline, typically in universities, seminaries and schools of divinity.",1,0.998
Environmental science,"Environmental science. Environmental science is an interdisciplinary academic field that integrates physical, biological and information sciences (including ecology, biology, physics, chemistry, zoology, mineralogy, oceanology, limnology, soil science, geology, atmospheric science, and geodesy) to the study of the environment, and the solution of environmental problems. Environmental science emerged from the fields of natural history and medicine during the Enlightenment.",1,0.998
Cognitive neuroscience,"Cognitive neuroscience. Cognitive neuroscience is an academic field concerned with the scientific study of the biological processes and aspects that underlie cognition, with a specific focus on the neural connections in the brain which are involved in mental processes. It addresses the questions of how psychological/cognitive activities are affected or controlled by neural circuits in the brain.",1,0.998
Pharmacology,"Pharmacology. Pharmacology is the branch of medicine and biology concerned with the study of drug action, where a drug can be broadly defined as any man-made, natural, or endogenous (from within body) molecule which exerts a biochemical and/or physiological effect on the cell, tissue, organ, or organism (sometimes the word pharmacon is used as a term to encompass these endogenous and exogenous bioactive species).",1,0.998
Neurology,"Neurology. Neurology (from , neuron, and the suffix -logia ""study of"") is a branch of medicine dealing with disorders of the nervous system. Neurology deals with the diagnosis and treatment of all categories of conditions and disease involving the central and peripheral nervous system (and its subdivisions, the autonomic nervous system and the somatic nervous system);",1,0.998
Immunology,"Immunology. Immunology is a branch of biomedical science that covers the study of immune systems in all organisms. It charts, measures, and contextualizes the: physiological functioning of the immune system in states of both health and diseases; malfunctions of the immune system in immunological disorders (such as autoimmune diseases, hypersensitivities, immune deficiency, and transplant rejection);",1,0.998
Chemical engineering,"Chemical engineering. Chemical engineering is a branch of engineering that applies physical sciences (physics and chemistry) and life sciences (microbiology and biochemistry) together with applied mathematics and economics to produce, transform, transport, and properly use chemicals, materials and energy. Essentially, chemical engineers design large-scale processes that convert chemicals, raw materials, living cells, microorganisms and energy into useful forms and products.",1,0.998
Phonology,"Phonology. Phonology is a branch of linguistics concerned with the systematic organization of sounds in languages. It has traditionally focused largely on the study of the systems of phonemes in particular languages (and therefore used to be also called phonemics, or phonematics), but it may also cover any linguistic analysis either at a level beneath the word (including syllable, onset and rime, articulatory gestures, articulatory features, mora, etc.",1,0.998
Economic geography,"Economic geography. Economic geography is the study of the location, distribution and spatial organization of economic activities across the world. It represents a traditional subfield of the discipline of geography. However, many economists have also approached the field in ways more typical of the discipline of economics.",1,0.998
Biomechanics,"Biomechanics. Biomechanics is the study of the structure and function of biological systems such as humans, animals, plants, organs, fungi, and cellsby means of the methods of mechanics.",1,0.998
Natural science,"Natural science. Natural science is a branch of science concerned with the description, prediction, and understanding of natural phenomena, based on observational and empirical evidence. Mechanisms such as peer review and repeatability of findings are used to try to ensure the validity of scientific advances. Natural science can be divided into two main branches: life science (or biological science) and physical science.",1,0.998
Geodesy,"Geodesy. Geodesy , — also known as geodetics or geodetics engineering — a branch of applied mathematics and earth sciences, is the scientific discipline that deals with the measurement and representation of the Earth (or any planet), including its gravitational field, in a three-dimensional time-varying space. Geodesists also study geodynamical phenomena such as crustal motion, tides, and polar motion.",1,0.998
Microbiology,"Microbiology. Microbiology (from Greek , mīkros, ""small""; , bios, ""life""; and , -logia) is the study of microscopic organisms, those being unicellular (single cell), multicellular (cell colony), or acellular (lacking cells). Microbiology encompasses numerous sub-disciplines including virology, mycology, parasitology, and bacteriology. Eukaryotic micro-organisms possess membrane-bound cell organelles and include fungi and protists, whereas prokaryotic organisms—all of which are microorganisms—are conventionally classified as lacking membrane-bound organelles and include eubacteria and archaebacteria.",1,0.998
Computational neuroscience,"Computational neuroscience. Computational neuroscience (also theoretical neuroscience) is the study of brain function in terms of the information processing properties of the structures that make up the nervous system. It is an interdisciplinary science that links the diverse fields of neuroscience, cognitive science, and psychology with electrical engineering, computer science, mathematics, and physics.",1,0.998
Toxicology,"Toxicology. Toxicology (from the Ancient Greek words τοξικός toxikos ""poisonous"" and λόγος logos) is a branch of biology, chemistry, and medicine (more specifically pharmacology) concerned with the study of the adverse effects of chemicals on living organisms. It also studies the harmful effects of chemical, biological and physical agents in biological systems that establishes the extent of damage in living organisms.",1,0.998
Linguistic anthropology,"Linguistic anthropology. Linguistic anthropology is the interdisciplinary study of how language influences social life. It is a branch of anthropology that originated from the endeavor to document endangered languages, and has grown over the past 100 years to encompass most aspects of language structure and use.",1,0.998
Evolutionary biology,"Evolutionary biology. Evolutionary biology is the subfield of biology that studies the evolutionary processes that produced the diversity of life on Earth starting from a single origin of life. These processes include the descent of species, and the origin of new species. The discipline emerged through what Julian Huxley called the synthesis of understanding from several previously unrelated fields of biological research, including genetics, ecology, systematics and paleontology.",1,0.998
Biological anthropology,"Biological anthropology. Biological anthropology, also known as physical anthropology, is a scientific discipline concerned with the biological and behavioral aspects of human beings, their related non-human primates and their extinct hominin ancestors. It is a subfield of anthropology that provides a biological perspective to the systematic study of human beings.",1,0.998
Media studies,"Media studies. Media studies is a discipline and field of study that deals with the content, history, and effects of various media; in particular, the mass media. Media studies may draw on traditions from both the social sciences and the humanities, but mostly from its core disciplines of mass communication, communication, communication sciences, and communication studies.",1,0.998
Bioethics,"Bioethics. Bioethics is the study of the typically controversial ethical issues emerging from new situations and possibilities brought about by advances in biology and medicine. It is also moral discernment as it relates to medical policy and practice. Bioethicists are concerned with the ethical questions that arise in the relationships among life sciences, biotechnology, medicine, politics, law, and philosophy.",1,0.998
Chemical physics,"Chemical physics. Chemical physics is a subdiscipline of chemistry and physics that investigates physicochemical phenomena using techniques from atomic and molecular physics and condensed matter physics; it is the branch of physics that studies chemical processes from the point of view of physics. While at the interface of physics and chemistry, chemical physics is distinct from physical chemistry in that it focuses more on the characteristic elements and theories of physics.",1,0.998
Zoology,"Zoology. Zoology (, zoh-OL-luh-jee) or animal biology is the branch of biology that relates to the animal kingdom, including the structure, embryology, evolution, classification, habits, and distribution of all animals, both living and extinct, and how they interact with their ecosystems. The term is derived from Ancient Greek ζῷον, zōion, i.",1,0.997
Mathematical logic,"Mathematical logic. Mathematical logic is a subfield of mathematics exploring the applications of formal logic to mathematics. It bears close connections to metamathematics, the foundations of mathematics, and theoretical computer science. The unifying themes in mathematical logic include the study of the expressive power of formal systems and the deductive power of formal proof systems.",1,0.997
Physical chemistry,"Physical chemistry. Physical chemistry is the study of macroscopic, atomic, subatomic, and particulate phenomena in chemical systems in terms of laws and concepts of physics. It applies the principles, practices and concepts of physics such as motion, energy, force, time, thermodynamics, quantum chemistry, statistical mechanics and dynamics, equilibrium.",1,0.997
Applied linguistics,"Applied linguistics. Applied linguistics is an interdisciplinary field of linguistics that identifies, investigates, and offers solutions to language-related real-life problems. Some of the academic fields related to applied linguistics are education, psychology, computer science, communication research, anthropology, and sociology.",1,0.997
Health psychology,"Health psychology. Health psychology is the study of psychological and behavioral processes in health, illness, and healthcare. It is concerned with understanding how psychological, behavioral, and cultural factors contribute to physical health and illness. Psychological factors can affect health directly. For example, chronically occurring environmental stressors affecting the hypothalamic–pituitary–adrenal axis, cumulatively, can harm health.",1,0.997
Cultural geography,"Cultural geography. Cultural geography is a sub-field within human geography. Cultural geography is the study of cultural products and norms and their variations across and relations to spaces and places. It focuses on describing and analyzing the ways language, religion, economy, government and other cultural phenomena vary or remain constant, from one place to another and on explaining how humans function spatially.",1,0.997
Psychoacoustics,"Psychoacoustics. Psychoacoustics is the scientific study of sound perception. More specifically, it is the branch of science studying the psychological and physiological responses associated with sound (including speech and music). It can be further categorized as a branch of psychophysics. Psychoacoustics got its name from a field within psychology—i.",1,0.997
Algebraic geometry,"Algebraic geometry. Algebraic geometry is a branch of mathematics, classically studying zeros of multivariate polynomials. Modern algebraic geometry is based on the use of abstract algebraic techniques, mainly from commutative algebra, for solving geometrical problems about these sets of zeros. The fundamental objects of study in algebraic geometry are algebraic varieties, which are geometric manifestations of solutions of systems of polynomial equations.",1,0.997
Computational geometry,"Computational geometry. Computational geometry is a branch of computer science devoted to the study of algorithms which can be stated in terms of geometry. Some purely geometrical problems arise out of the study of computational geometric algorithms, and such problems are also considered to be part of computational geometry. While modern computational geometry is a recent development, it is one of the oldest fields of computing with history stretching back to antiquity.",1,0.997
Neuropsychology,Neuropsychology. Neuropsychology studies the structure and function of the brain as they relate to specific psychological processes and behaviors. It's an experimental field of psychology that aims to understand how behavior and cognition are influenced by brain functioning and is concerned with the diagnosis and treatment of behavioral and cognitive effects of neurological disorders.,1,0.997
Fluid dynamics,"Fluid dynamics. In physics, fluid dynamics is a subdiscipline of fluid mechanics that deals with fluid flow—the natural science of fluids (liquids and gases) in motion. It has several subdisciplines itself, including aerodynamics (the study of air and other gases in motion) and hydrodynamics (the study of liquids in motion).",1,0.997
Affective neuroscience,"Affective neuroscience. Affective neuroscience is the study of the neural mechanisms of emotion. This interdisciplinary field combines neuroscience with the psychological study of personality, emotion, and mood.",1,0.997
Area studies,"Area studies. Area studies are interdisciplinary fields of research and scholarship pertaining to particular geographical, national/federal, or cultural regions. The term exists primarily as a general description for what are, in the practice of scholarship, many heterogeneous fields of research, encompassing both the social sciences and the humanities. Typical area study programs involve history, political science, sociology, cultural studies, languages, geography, literature, and related disciplines.",1,0.997
Pathology,"Pathology. Pathology (from the Ancient Greek roots of pathos , meaning ""experience"" or ""suffering"", and -logia , ""study of"") is a significant component of the causal study of disease and a major field in modern medicine and diagnosis.",1,0.997
Neurophysiology,"Neurophysiology. Neurophysiology (from Greek , neuron, ""nerve""; φύσις, physis, ""nature, origin""; and -λογία, -logia, ""knowledge"") is a branch of physiology and neuroscience that is concerned with the study of the functioning of the nervous system.",1,0.997
Historiography,"Historiography. Historiography is the study of the methodology of historians in developing history as an academic discipline, and by extension is any body of historical work on a particular subject. The historiography of a specific topic covers how historians have studied that topic using particular sources, techniques, and theoretical approaches.",1,0.997
Molecular microbiology,Molecular microbiology. Molecular microbiology is the branch of microbiology devoted to the study of the molecular basis of the physiological processes that occur in microorganisms.,1,0.997
Ontology,"Ontology. Ontology is the philosophical study of the nature of being, becoming, existence or reality as well as the basic categories of being and their relations. Traditionally listed as a part of the major branch of philosophy known as metaphysics ontology often deals with questions concerning what entities exist or may be said to exist, and how such entities may be grouped, related within a hierarchy, and subdivided according to similarities and differences.",1,0.997
Astronomy,"Astronomy. Astronomy, a natural science, is the study of celestial objects (such as stars, galaxies, planets, moons, asteroids, comets and nebulae) and processes (such as supernovae explosions, gamma ray bursts, and cosmic microwave background radiation), the physics, chemistry, and evolution of such objects and processes, and more generally all phenomena that originate outside the atmosphere of Earth.",1,0.997
Art history,"Art history. Art history is the study of objects of art in their historical development and stylistic contexts, i.e. genre, design, format, and style. This includes the ""major"" arts of painting, sculpture, and architecture as well as the ""minor"" arts of ceramics, furniture, and other decorative objects. As a term, art history (also history of art) encompasses several methods of studying the visual arts;",1,0.997
Tribology,"Tribology. Tribology is the study of science and engineering of interacting surfaces in relative motion. It includes the study and application of the principles of friction, lubrication and wear. Tribology is a branch of mechanical engineering and materials science.",1,0.997
Medical anthropology,"Medical anthropology. Medical anthropology studies ""human health and disease, health care systems, and biocultural adaptation"". It views humans from multidimensional and ecological perspectives. It is one of the most highly developed areas of anthropology and applied anthropology, and is a subfield of social and cultural anthropology that examines the ways in which culture and society are organized around or influenced by issues of health, health care and related issues.",1,0.997
Sociobiology,"Sociobiology. Sociobiology is a field of scientific study that is based on the hypothesis that social behavior has resulted from evolution and attempts to examine and explain social behavior within that context. It is a branch of biology that deals with social behavior, and also draws from ethology, anthropology, evolution, zoology, archaeology, population genetics, and other disciplines.",1,0.997
Sport psychology,"Sport psychology. Sport psychology is an interdisciplinary science that draws on knowledge from many related fields including biomechanics, physiology, kinesiology and psychology. It involves the study of how psychological factors affect performance and how participation in sport and exercise affect psychological and physical factors.",1,0.997
Computational sociology,"Computational sociology. Computational sociology is a branch of sociology that uses computationally intensive methods to analyze and model social phenomena. Using computer simulations, artificial intelligence, complex statistical methods, and analytic approaches like social network analysis, computational sociology develops and tests theories of complex social processes through bottom-up modeling of social interactions.",1,0.997
Organic chemistry,"Organic chemistry. Organic chemistry is a chemistry subdiscipline involving the scientific study of the structure, properties, and reactions of organic compounds and organic materials, i.e., matter in its various forms that contain carbon atoms. Study of structure includes many physical and chemical methods to determine the chemical composition and the chemical constitution of organic compounds and materials.",1,0.996
Computational anatomy,"Computational anatomy. Computational anatomy is a discipline within medical imaging focusing on the study of anatomical shape and form at the morphome scale of morphology. It involves the development and application of computational, mathematical and data-analytical methods for modeling and simulation of biological structures. The field is broadly defined and includes foundations in anatomy, applied mathematics and pure mathematics, machine learning, computational mechanics, computational science, medical imaging, neuroscience, physics, probability, and statistics;",1,0.996
Quantitative psychology,"Quantitative psychology. Quantitative psychology is a field of scientific study that focuses on the mathematical modeling, research design and methodology, and statistical analysis of human attributes and psychological processes. Quantitative psychologists research traditional and novel methods of psychometrics, a field of study concerned with the theory and technique of psychological measurement.",1,0.996
Soil science,"Soil science. Soil science is the study of soil as a natural resource on the surface of the Earth including soil formation, classification and mapping; physical, chemical, biological, and fertility properties of soils; and these properties in relation to the use and management of soils.",1,0.996
Molecular pathology,"Molecular pathology. Molecular pathology is an emerging discipline within pathology which is focused in the study and diagnosis of disease through the examination of molecules within organs, tissues or bodily fluids. Molecular pathology shares some aspects of practice with both anatomic pathology and clinical pathology, molecular biology, biochemistry, proteomics and genetics, and is sometimes considered a ""crossover"" discipline.",1,0.996
Humanities,"Humanities. Humanities are academic disciplines that study human culture. In the Middle Ages, the term contrasted with divinity and referred to what is now called classics, the main area of secular study in universities at the time. Today, the humanities are more frequently contrasted with natural, physical and sometimes social sciences as well as professional training.",1,0.996
Medical sociology,"Medical sociology. Medical sociology is the sociological analysis of medical organizations and institutions; the production of knowledge and selection of methods, the actions and interactions of healthcare professionals, and the social or cultural (rather than clinical or bodily) effects of medical practice. The field commonly interacts with the sociology of knowledge, science and technology studies, and social epistemology.",1,0.996
Cognitive musicology,"Cognitive musicology. Cognitive musicology is a branch of cognitive science concerned with computationally modeling musical knowledge with the goal of understanding both music and cognition. Cognitive musicology can be differentiated from other branches of music psychology via its methodological emphasis, using computer modeling to study music-related knowledge representation with roots in artificial intelligence and cognitive science.",1,0.996
Computational mechanics,"Computational mechanics. Computational mechanics is the discipline concerned with the use of computational methods to study phenomena governed by the principles of mechanics. Before the emergence of computational science (also called scientific computing) as a ""third way"" besides theoretical and experimental sciences, computational mechanics was widely considered to be a sub-discipline of applied mechanics.",1,0.996
Christian theology,"Christian theology. Christian theology is the study of Christian belief and practice. Such study concentrates primarily upon the texts of the Old Testament and the New Testament as well as on the historic traditions of Christians. Christian theologians use biblical exegesis, rational analysis and argument.",1,0.996
Ornithology,"Ornithology. Ornithology is a branch of zoology that concerns the study of birds. The word ""ornithology"" derives from the ancient Greek ὄρνις ornis (""bird"") and λόγος logos (""rationale"" or ""explanation""). Several aspects of ornithology differ from related disciplines, due partly to the high visibility and the aesthetic appeal of birds.",1,0.996
Neurolinguistics,"Neurolinguistics. Neurolinguistics is the study of the neural mechanisms in the human brain that control the comprehension, production, and acquisition of language. As an interdisciplinary field, neurolinguistics draws methods and theories from fields such as neuroscience, linguistics, cognitive science, neurobiology, communication disorders, neuropsychology, and computer science. Researchers are drawn to the field from a variety of backgrounds, bringing along a variety of experimental techniques as well as widely varying theoretical perspectives.",1,0.996
Psychological anthropology,"Psychological anthropology. Psychological anthropology is an interdisciplinary subfield of anthropology that studies the interaction of cultural and mental processes. This subfield tends to focus on ways in which humans' development and enculturation within a particular cultural group—with its own history, language, practices, and conceptual categories—shape processes of human cognition, emotion, perception, motivation, and mental health.",1,0.996
Computational finance,Computational finance. Computational finance is a branch of applied computer science that deals with problems of practical interest in finance. Some slightly different definitions are the study of data and algorithms currently used in finance and the mathematics of computer programs that realize financial models or systems. Computational finance emphasizes practical numerical methods rather than mathematical proofs and focuses on techniques that apply directly to economic analyses.,1,0.996
Computational economics,"Computational economics. Computational economics is a research discipline at the interface of computer science, economics, and management science. Areas and subjects encompassed include computational modeling of economic systems, whether agent-based, general-equilibrium, macroeconomic, or rational-expectations, computational econometrics and statistics, computational finance, computational tools for the designof automated internet markets, programming tools specifically designed for computational economics, and pedagogical tools for the teaching of computational economics.",1,0.996
